rmse,rate,dim, rank,cons
0.90088783,0.0625,20,5,n
0.474034353,0.027777778,30,5,n
0.341129523,0.015625,40,5,n
0.268696524,0.01,50,5,n
0.219112975,0.006944444,60,5,n
0.18700254,0.005102041,70,5,n
0.715521144,0.0625,20,5,v
0.477463413,0.027777778,30,5,v
0.343228778,0.015625,40,5,v
0.263727202,0.01,50,5,v
0.220843025,0.006944444,60,5,v
0.189392354,0.005102041,70,5,v
0.694622243,0.0625,20,5,c
0.356015211,0.027777778,30,5,c
0.216759704,0.015625,40,5,c
0.127913901,0.01,50,5,c
0.093218829,0.006944444,60,5,c
0.098813641,0.005102041,70,5,c
