rmse,rate,dim,rank,cons
0.975361472,0.0625,20,5,n
0.473222642,0.027777778,30,5,n
0.32827434,0.015625,40,5,n
0.257577992,0.01,50,5,n
0.20711209,0.006944444,60,5,n
0.17633599,0.005102041,70,5,n
2.467900446,0.0625,20,5,v
0.52612965,0.027777778,30,5,v
0.335313046,0.015625,40,5,v
0.260041595,0.01,50,5,v
0.209654031,0.006944444,60,5,v
0.17792594,0.005102041,70,5,v
2.860183849,0.0625,20,5,c
0.523196543,0.027777778,30,5,c
0.334217021,0.015625,40,5,c
0.259474661,0.01,50,5,c
0.208954448,0.006944444,60,5,c
0.177013554,0.005102041,70,5,c
