mse,rate,dim, rank,,,
0.489426771,0.0225,20,3,,,
0.304887855,0.01,30,3,,,
0.240375021,0.005625,40,3,,,
0.20461594,0.0036,50,3,,,
0.172178028,0.0025,60,3,,,
0.156709426,0.001836735,70,3,,,
0.125189765,0.00140625,80,3,,,
0.837969833,0.0625,20,5,,,
0.360385675,0.027777778,30,5,,,
0.249725616,0.015625,40,5,,,
0.244917236,0.01,50,5,,,
0.161424315,0.006944444,60,5,,,
0.133533301,0.005102041,70,5,,,
0.128831856,0.00390625,80,5,,,
1.021038642,0.09,20,6,,,
0.43913686,0.04,30,6,,,
0.278095882,0.0225,40,6,,,
0.220550858,0.0144,50,6,,,
0.177434312,0.01,60,6,,,
0.15024288,0.00734694,70,6,,,
0.132946791,0.005625,80,6,,,
1.944189524,0.1225,20,7,,,
0.504755786,0.054444444,30,7,,,
0.310969413,0.030625,40,7,,,
0.239790858,0.0196,50,7,,,
0.188579608,0.013611111,60,7,,,
0.163665564,0.01,70,7,,,
0.13751383,0.00765625,80,7,,,
4.211081749,0.16,20,8,,,
0.597634871,0.071111111,30,8,,,
0.355181893,0.04,40,8,,,
0.260392877,0.0256,50,8,,,
0.207136951,0.017777778,60,8,,,
0.17380729,0.013061224,70,8,,,
0.149622703,0.01,80,8,,,
