RMSE,rate,d,rank,p1,p2
0.054917823,0.675,20,3,5,5
0.153508055,0.765,20,3,7,7
0.123007492,0.855,20,3,9,9
0.133655802,0.945,20,3,11,11
0.190061412,1.035,20,3,13,13
0.244251448,1.125,20,3,15,15
0.478331879,1.215,20,3,17,17
1.951130459,1.305,20,3,19,19
0.051321176,0.4,30,3,5,5
0.032905661,0.44,30,3,7,7
0.042400589,0.48,30,3,9,9
0.025605094,0.52,30,3,11,11
0.041277825,0.56,30,3,13,13
0.031611794,0.6,30,3,15,15
0.043135087,0.64,30,3,17,17
0.056391588,0.68,30,3,19,19
0.014587078,0.28125,40,3,5,5
0.012557327,0.30375,40,3,7,7
0.018499531,0.32625,40,3,9,9
0.015598182,0.34875,40,3,11,11
0.015076993,0.37125,40,3,13,13
0.014937802,0.39375,40,3,15,15
0.014785574,0.41625,40,3,17,17
0.024793124,0.43875,40,3,19,19
0.007430822,0.216,50,3,5,5
0.010927746,0.2304,50,3,7,7
0.008585167,0.2448,50,3,9,9
0.011442504,0.2592,50,3,11,11
0.008607115,0.2736,50,3,13,13
0.007251561,0.288,50,3,15,15
0.008432904,0.3024,50,3,17,17
0.010157586,0.3168,50,3,19,19
0.005157559,0.175,60,3,5,5
0.005408041,0.185,60,3,7,7
0.004577264,0.195,60,3,9,9
0.006195867,0.205,60,3,11,11
0.007401274,0.215,60,3,13,13
0.006042823,0.225,60,3,15,15
0.005040795,0.235,60,3,17,17
0.005355983,0.245,60,3,19,19
0.003392323,0.146938776,70,3,5,5
0.004180916,0.154285714,70,3,7,7
0.003070279,0.161632653,70,3,9,9
0.002982276,0.168979592,70,3,11,11
0.004025809,0.176326531,70,3,13,13
0.003612857,0.183673469,70,3,15,15
0.004610513,0.191020408,70,3,17,17
0.004680898,0.198367347,70,3,19,19
