rowid,brainfield,ENSEMBL,SYMBOL,GENENAME,MAP,ENTREZID,BIOSOURCE_POSITION,GENETYPE,LOCUS,DESCRIPTION,SUMMARY,gene_family
17326,ENSG00000187323,ENSG00000187323,DCC,DCC netrin 1 receptor,18q21.2,1630,18,protein-coding,DCC,DCC netrin 1 receptor,"This gene encodes a netrin 1 receptor. The transmembrane protein is a member of the immunoglobulin superfamily of cell adhesion molecules, and mediates axon guidance of neuronal growth cones towards sources of netrin 1 ligand. The cytoplasmic tail interacts with the tyrosine kinases Src and focal adhesion kinase (FAK, also known as PTK2) to mediate axon attraction. The protein partially localizes to lipid rafts, and induces apoptosis in the absence of ligand. The protein functions as a tumor suppressor, and is frequently mutated or downregulated in colorectal cancer and esophageal carcinoma. [provided by RefSeq, Oct 2009]",Axon Guidance Pathway
9569,ENSG00000169242,ENSG00000169242,EFNA1,ephrin A1,1q22,1942,1,protein-coding,EFNA1,ephrin A1,"This gene encodes a member of the ephrin (EPH) family. The ephrins and EPH-related receptors comprise the largest subfamily of receptor protein-tyrosine kinases and have been implicated in mediating developmental events, especially in the nervous system and in erythropoiesis. Based on their structures and sequence relationships, ephrins are divided into the ephrin-A (EFNA) class, which are anchored to the membrane by a glycosylphosphatidylinositol linkage, and the ephrin-B (EFNB) class, which are transmembrane proteins. This gene encodes an EFNA class ephrin which binds to the EPHA2, EPHA4, EPHA5, EPHA6, and EPHA7 receptors. Two transcript variants that encode different isoforms were identified through sequence analysis. [provided by RefSeq, Jul 2008]",Axon Guidance Pathway
10137,ENSG00000184349,ENSG00000184349,EFNA5,ephrin A5,5q21.3,1946,5,protein-coding,EFNA5,ephrin A5,"Ephrin-A5, a member of the ephrin gene family, prevents axon bundling in cocultures of cortical neurons with astrocytes, a model of late stage nervous system development and differentiation. The EPH and EPH-related receptors comprise the largest subfamily of receptor protein-tyrosine kinases and have been implicated in mediating developmental events, particularly in the nervous system. EPH receptors typically have a single kinase domain and an extracellular region containing a Cys-rich domain and 2 fibronectin type III repeats. The ephrin ligands and receptors have been named by the Eph Nomenclature Committee (1997). Based on their structures and sequence relationships, ephrins are divided into the ephrin-A (EFNA) class, which are anchored to the membrane by a glycosylphosphatidylinositol linkage, and the ephrin-B (EFNB) class, which are transmembrane proteins. The Eph family of receptors are similarly divided into 2 groups based on the similarity of their extracellular domain sequences and their affinities for binding ephrin-A and ephrin-B ligands. [provided by RefSeq, Jul 2008]",Axon Guidance Pathway
14656,ENSG00000145242,ENSG00000145242,EPHA5,EPH receptor A5,4q13.1-q13.2,2044,4,protein-coding,EPHA5,EPH receptor A5,"This gene belongs to the ephrin receptor subfamily of the protein-tyrosine kinase family. EPH and EPH-related receptors have been implicated in mediating developmental events, particularly in the nervous system. Receptors in the EPH subfamily typically have a single kinase domain and an extracellular region containing a Cys-rich domain and 2 fibronectin type III repeats. The ephrin receptors are divided into 2 groups based on the similarity of their extracellular domain sequences and their affinities for binding ephrin-A and ephrin-B ligands. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Aug 2013]",Axon Guidance Pathway
12929,ENSG00000135333,ENSG00000135333,EPHA7,EPH receptor A7,6q16.1,2045,6,protein-coding,EPHA7,EPH receptor A7,"This gene belongs to the ephrin receptor subfamily of the protein-tyrosine kinase family. EPH and EPH-related receptors have been implicated in mediating developmental events, particularly in the nervous system. Receptors in the EPH subfamily typically have a single kinase domain and an extracellular region containing a Cys-rich domain and 2 fibronectin type III repeats. The ephrin receptors are divided into 2 groups based on the similarity of their extracellular domain sequences and their affinities for binding ephrin-A and ephrin-B ligands. Increased expression of this gene is associated with multiple forms of carcinoma. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2013]",Axon Guidance Pathway
10730,ENSG00000151892,ENSG00000151892,GFRA1,GDNF family receptor alpha 1,10q25.3,2674,10,protein-coding,GFRA1,GDNF family receptor alpha 1,"This gene encodes a member of the glial cell line-derived neurotrophic factor receptor (GDNFR) family of proteins. The encoded preproprotein is proteolytically processed to generate the mature receptor. Glial cell line-derived neurotrophic factor (GDNF) and neurturin (NTN) are two structurally related, potent neurotrophic factors that play key roles in the control of neuron survival and differentiation. This receptor is a glycosylphosphatidylinositol (GPI)-linked cell surface receptor for both GDNF and NTN, and mediates activation of the RET tyrosine kinase receptor. This gene is a candidate gene for Hirschsprung disease. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed. [provided by RefSeq, Jan 2016]",Axon Guidance Pathway
3470,ENSG00000106683,ENSG00000106683,LIMK1,LIM domain kinase 1,7q11.23,3984,7,protein-coding,LIMK1,LIM domain kinase 1,"There are approximately 40 known eukaryotic LIM proteins, so named for the LIM domains they contain. LIM domains are highly conserved cysteine-rich structures containing 2 zinc fingers. Although zinc fingers usually function by binding to DNA or RNA, the LIM motif probably mediates protein-protein interactions. LIM kinase-1 and LIM kinase-2 belong to a small subfamily with a unique combination of 2 N-terminal LIM motifs and a C-terminal protein kinase domain. LIMK1 is a serine/threonine kinase that regulates actin polymerization via phosphorylation and inactivation of the actin binding factor cofilin. This protein is ubiquitously expressed during development and plays a role in many cellular processes associated with cytoskeletal structure. This protein also stimulates axon growth and may play a role in brain development. LIMK1 hemizygosity is implicated in the impaired visuospatial constructive cognition of Williams syndrome. Alternative splicing results in multiple transcript variants encoding distinct isoforms.[provided by RefSeq, Feb 2011]",Axon Guidance Pathway
3632,ENSG00000128594,ENSG00000128594,LRRC4,leucine rich repeat containing 4,7q32.1,64101,7,protein-coding,LRRC4,leucine rich repeat containing 4,"This gene is significantly downregulated in primary brain tumors. The exact function of the protein encoded by this gene is unknown. [provided by RefSeq, Jul 2008]",Axon Guidance Pathway
14516,ENSG00000162631,ENSG00000162631,NTNG1,netrin G1,1p13.3,22854,1,protein-coding,NTNG1,netrin G1,"This gene encodes a preproprotein that is processed into a secreted protein containing eukaroytic growth factor (EGF)-like domains. This protein acts to guide axon growth during neuronal development. Polymorphisms in this gene may be associated with schizophrenia. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Aug 2015]",Axon Guidance Pathway
9870,ENSG00000169855,ENSG00000169855,ROBO1,roundabout guidance receptor 1,3p12.3,6091,3,protein-coding,ROBO1,roundabout guidance receptor 1,"Bilateral symmetric nervous systems have special midline structures that establish a partition between the two mirror image halves. Some axons project toward and across the midline in response to long-range chemoattractants emanating from the midline. The product of this gene is a member of the immunoglobulin gene superfamily and encodes an integral membrane protein that functions in axon guidance and neuronal precursor cell migration. This receptor is activated by SLIT-family proteins, resulting in a repulsive effect on glioma cell guidance in the developing brain. A related gene is located at an adjacent region on chromosome 3. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2009]",Axon Guidance Pathway
10373,ENSG00000075213,ENSG00000075213,SEMA3A,semaphorin 3A,7q21.11,10371,7,protein-coding,SEMA3A,semaphorin 3A,"This gene is a member of the semaphorin family and encodes a protein with an Ig-like C2-type (immunoglobulin-like) domain, a PSI domain and a Sema domain. This secreted protein can function as either a chemorepulsive agent, inhibiting axonal outgrowth, or as a chemoattractive agent, stimulating the growth of apical dendrites. In both cases, the protein is vital for normal neuronal pattern development. Increased expression of this protein is associated with schizophrenia and is seen in a variety of human tumor cell lines. Also, aberrant release of this protein is associated with the progression of Alzheimer's disease. [provided by RefSeq, Jul 2008]",Axon Guidance Pathway
670,ENSG00000196189,ENSG00000196189,SEMA4A,semaphorin 4A,1q22,64218,1,protein-coding,SEMA4A,semaphorin 4A,"This gene encodes a member of the semaphorin family of soluble and transmembrane proteins. Semaphorins are involved in numerous functions, including axon guidance, morphogenesis, carcinogenesis, and immunomodulation. The encoded protein is a single-pass type I membrane protein containing an immunoglobulin-like C2-type domain, a PSI domain and a sema domain. It inhibits axonal extension by providing local signals to specify territories inaccessible for growing axons. It is an activator of T-cell-mediated immunity and suppresses vascular endothelial growth factor (VEGF)-mediated endothelial cell migration and proliferation in vitro and angiogenesis in vivo. Mutations in this gene are associated with retinal degenerative diseases including retinitis pigmentosa type 35 (RP35) and cone-rod dystrophy type 10 (CORD10). Multiple alternatively spliced transcript variants encoding different isoforms have been identified.[provided by RefSeq, Sep 2010]",Axon Guidance Pathway
10078,ENSG00000112902,ENSG00000112902,SEMA5A,semaphorin 5A,5p15.31,9037,5,protein-coding,SEMA5A,semaphorin 5A,"This gene belongs to the semaphorin gene family that encodes membrane proteins containing a semaphorin domain and several thrombospondin type-1 repeats. Members of this family are involved in axonal guidance during neural development. This gene has been implicated as an autism susceptibility gene.[provided by RefSeq, Jan 2010]",Axon Guidance Pathway
10143,ENSG00000092421,ENSG00000092421,SEMA6A,semaphorin 6A,5q23.1,57556,5,protein-coding,SEMA6A,semaphorin 6A,"The transmembrane semaphorin SEMA6A is expressed in developing neural tissue and is required for proper development of the thalamocortical projection (Leighton et al., 2001 [PubMed 11242070]).[supplied by OMIM, Feb 2011]",Axon Guidance Pathway
14873,ENSG00000187122,ENSG00000187122,SLIT1,slit guidance ligand 1,10q24.1,6585,10,protein-coding,SLIT1,slit guidance ligand 1,NA,Axon Guidance Pathway
9978,ENSG00000145147,ENSG00000145147,SLIT2,slit guidance ligand 2,4p15.31,9353,4,protein-coding,SLIT2,slit guidance ligand 2,"This gene encodes a member of the slit family of secreted glycoproteins, which are ligands for the Robo family of immunoglobulin receptors. Slit proteins play highly conserved roles in axon guidance and neuronal migration and may also have functions during other cell migration processes including leukocyte migration. Members of the slit family are characterized by an N-terminal signal peptide, four leucine-rich repeats, nine epidermal growth factor repeats, and a C-terminal cysteine knot. Proteolytic processing of this protein gives rise to an N-terminal fragment that contains the four leucine-rich repeats and five epidermal growth factor repeats and a C-terminal fragment that contains four epidermal growth factor repeats and the cysteine knot. Both full length and cleaved proteins are secreted extracellularly and can function in axon repulsion as well as other specific processes. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2015]",Axon Guidance Pathway
14713,ENSG00000113763,ENSG00000113763,UNC5A,unc-5 netrin receptor A,5q35.2,90249,5,protein-coding,UNC5A,unc-5 netrin receptor A,"UNC5A belongs to a family of netrin-1 (MIM 601614) receptors thought to mediate the chemorepulsive effect of netrin-1 on specific axons. For more information on UNC5 proteins, see UNC5C (MIM 603610).[supplied by OMIM, Apr 2004]",Axon Guidance Pathway
4993,ENSG00000134824,ENSG00000134824,FADS2,fatty acid desaturase 2,11q12.2,9415,11,protein-coding,FADS2,fatty acid desaturase 2,"The protein encoded by this gene is a member of the fatty acid desaturase (FADS) gene family. Desaturase enzymes regulate unsaturation of fatty acids through the introduction of double bonds between defined carbons of the fatty acyl chain. FADS family members are considered fusion products composed of an N-terminal cytochrome b5-like domain and a C-terminal multiple membrane-spanning desaturase portion, both of which are characterized by conserved histidine motifs. This gene is clustered with family members at 11q12-q13.1; this cluster is thought to have arisen evolutionarily from gene duplication based on its similar exon/intron organization. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2013]",Biosynthetic Process
14679,ENSG00000040731,ENSG00000040731,CDH10,cadherin 10,5p14.2-p14.1,1008,5,protein-coding,CDH10,cadherin 10,"This gene encodes a type II classical cadherin of the cadherin superfamily. Alternative splicing of this gene results in multiple transcript variants. At least one of these variants encodes a preproprotein that is proteolytically processed to generate the mature cadherin protein. These integral membrane proteins mediate calcium-dependent cell-cell adhesion and are composed of a large N-terminal extracellular domain, a single membrane-spanning domain, and a small, highly conserved C-terminal cytoplasmic domain. The extracellular domain consists of 5 subdomains, each containing a cadherin motif, and appears to determine the specificity of the protein's homophilic cell adhesion activity. Type II (atypical) cadherins are defined based on their lack of a histidine-alanine-valine (HAV) cell adhesion recognition sequence specific to type I cadherins. This particular cadherin is predominantly expressed in brain and is putatively involved in synaptic adhesions, axon outgrowth and guidance. Mutations in this gene may be associated with lung squamous cell carcinoma and colorectal cancer in human patients. [provided by RefSeq, Nov 2015]",Cell Adhesion
11258,ENSG00000140937,ENSG00000140937,CDH11,cadherin 11,16q21,1009,16,protein-coding,CDH11,cadherin 11,"This gene encodes a type II classical cadherin from the cadherin superfamily, integral membrane proteins that mediate calcium-dependent cell-cell adhesion. Mature cadherin proteins are composed of a large N-terminal extracellular domain, a single membrane-spanning domain, and a small, highly conserved C-terminal cytoplasmic domain. Type II (atypical) cadherins are defined based on their lack of a HAV cell adhesion recognition sequence specific to type I cadherins. Expression of this particular cadherin in osteoblastic cell lines, and its upregulation during differentiation, suggests a specific function in bone development and maintenance. [provided by RefSeq, Jul 2008]",Cell Adhesion
13557,ENSG00000179242,ENSG00000179242,CDH4,cadherin 4,20q13.33,1002,20,protein-coding,CDH4,cadherin 4,"This gene is a classical cadherin from the cadherin superfamily. The encoded protein is a calcium-dependent cell-cell adhesion glycoprotein comprised of five extracellular cadherin repeats, a transmembrane region and a highly conserved cytoplasmic tail. Based on studies in chicken and mouse, this cadherin is thought to play an important role during brain segmentation and neuronal outgrowth. In addition, a role in kidney and muscle development is indicated. Of particular interest are studies showing stable cis-heterodimers of cadherins 2 and 4 in cotransfected cell lines. Previously thought to interact in an exclusively homophilic manner, this is the first evidence of cadherin heterodimerization. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Nov 2011]",Cell Adhesion
15040,ENSG00000150394,ENSG00000150394,CDH8,cadherin 8,16q21,1006,16,protein-coding,CDH8,cadherin 8,"This gene encodes a type II classical cadherin from the cadherin superfamily, integral membrane proteins that mediate calcium-dependent cell-cell adhesion. Mature cadherin proteins are composed of a large N-terminal extracellular domain, a single membrane-spanning domain, and a small, highly conserved C-terminal cytoplasmic domain. The extracellular domain consists of 5 subdomains, each containing a cadherin motif, and appears to determine the specificity of the protein's homophilic cell adhesion activity. Type II (atypical) cadherins are defined based on their lack of a HAV cell adhesion recognition sequence specific to type I cadherins. This particular cadherin is expressed in brain and is putatively involved in synaptic adhesion, axon outgrowth and guidance. [provided by RefSeq, Jul 2008]",Cell Adhesion
14680,ENSG00000113100,ENSG00000113100,CDH9,cadherin 9,5p14.1,1007,5,protein-coding,CDH9,cadherin 9,"This gene encodes a type II classical cadherin from the cadherin superfamily, integral membrane proteins that mediate calcium-dependent cell-cell adhesion. Mature cadherin proteins are composed of a large N-terminal extracellular domain, a single membrane-spanning domain, and a small, highly conserved C-terminal cytoplasmic domain. The extracellular domain consists of 5 subdomains, each containing a cadherin motif, and appears to determine the specificity of the protein's homophilic cell adhesion activity. Type II (atypical) cadherins are defined based on their lack of a HAV cell adhesion recognition sequence specific to type I cadherins. [provided by RefSeq, Jul 2008]",Cell Adhesion
9808,ENSG00000134121,ENSG00000134121,CHL1,cell adhesion molecule L1 like,3p26.3,10752,3,protein-coding,CHL1,cell adhesion molecule L1 like,"The protein encoded by this gene is a member of the L1 gene family of neural cell adhesion molecules. It is a neural recognition molecule that may be involved in signal transduction pathways. The deletion of one copy of this gene may be responsible for mental defects in patients with 3p- syndrome. This protein may also play a role in the growth of certain cancers. Alternate splicing results in both coding and non-coding variants. [provided by RefSeq, Nov 2011]",Cell Adhesion
9910,ENSG00000158258,ENSG00000158258,CLSTN2,calsyntenin 2,3q23,64084,3,protein-coding,CLSTN2,calsyntenin 2,NA,Cell Adhesion
